,index,City,Country,Lat,Long,Cloudiness,Humidity,Max Temp,Wind Speed
0,0,jumla,NP,29.28,82.18,76,57,278.13,0.23
1,1,norman wells,CA,65.28,-126.83,75,92,260.15,2.6
2,2,severo-kurilsk,RU,50.68,156.12,95,80,266.73,15.43
3,3,hasaki,JP,35.73,140.83,20,39,282.04,5.1
4,4,pacific grove,US,36.62,-121.92,90,70,282.59,2.6
5,5,nikolskoye,RU,59.7,30.79,90,86,274.82,4
6,6,chapais,CA,49.78,-74.86,90,85,264.15,4.6
7,7,rikitea,PF,-23.12,-134.97,99,73,299.37,1.25
8,8,qaanaaq,GL,77.48,-69.36,100,88,260.48,2.01
9,9,khatanga,RU,71.98,102.47,100,95,245.64,3.37
10,10,hobart,AU,-42.88,147.33,75,48,289.15,8.2
11,11,punta arenas,CL,-53.16,-70.91,75,70,280.15,2.6
13,13,san patricio,PY,-26.98,-56.83,52,65,290.3,2.77
14,14,airai,TL,-8.93,125.41,67,28,304.75,3.53
15,15,hermanus,ZA,-34.42,19.24,22,91,290.93,1.79
16,16,sistranda,NO,63.73,8.83,75,74,276.48,8.7
17,17,mount isa,AU,-20.73,139.49,75,19,311.15,3.6
18,18,fort nelson,CA,58.81,-122.69,75,84,258.15,1.5
19,19,beringovskiy,RU,63.05,179.32,100,85,268.79,6.3
20,20,batagay-alyta,RU,67.8,130.41,100,79,247.24,2.65
21,21,dikson,RU,73.51,80.55,52,97,246.33,2.84
22,22,port alfred,ZA,-33.59,26.89,68,95,292.59,4.48
23,23,rio grande,BR,-32.03,-52.1,0,75,291.48,0.89
24,24,mao,DO,19.55,-71.08,20,88,299.26,3.1
25,25,faanui,PF,-16.48,-151.75,100,76,300.77,4.38
26,26,saint anthony,US,43.97,-111.68,1,92,270.93,3.6
27,27,castro,CL,-42.48,-73.76,40,93,282.15,2.1
28,28,butaritari,KI,3.07,172.79,100,72,302.05,3.56
30,30,nishihara,JP,35.74,139.53,20,45,283.71,3.6
31,31,kharp,RU,66.82,65.8,3,80,251.45,0.98
33,33,thompson,CA,55.74,-97.86,20,84,256.15,1
34,34,hithadhoo,MV,-0.6,73.08,100,77,301.1,4.79
35,35,hilo,US,19.71,-155.08,1,65,299.15,4.1
36,36,cururupu,BR,-1.82,-44.87,0,97,295.91,0.92
37,37,ushuaia,AR,-54.81,-68.31,75,96,279.15,4.1
39,39,mataura,NZ,-46.19,168.86,100,64,288.15,5.81
40,40,guerrero negro,MX,27.97,-114.04,100,74,291.28,7.02
41,41,cape town,ZA,-33.93,18.42,75,88,290.93,2.6
42,42,pakdasht,IR,35.48,51.68,75,75,281.15,3.1
43,43,katsuura,JP,33.93,134.5,20,40,284.15,3.6
44,44,tiksi,RU,71.64,128.87,15,87,244.38,4.32
45,45,pevek,RU,69.7,170.27,18,96,246.18,0.25
46,46,charters towers,AU,-20.07,146.27,7,26,307.51,7.28
47,47,jasper,US,33.83,-87.28,20,61,284.82,2.49
48,48,vestmannaeyjar,IS,63.44,-20.27,36,68,274.72,5.42
49,49,faya,SA,18.39,42.45,40,93,287.15,1.21
50,50,southbridge,US,42.08,-72.03,40,59,275.15,5.1
51,51,albany,US,42.65,-73.75,90,69,274.26,2.6
53,53,kruisfontein,ZA,-34,24.73,0,74,290.4,2.36
54,54,sardhana,IN,29.15,77.61,0,63,291.32,1
55,55,bluff,AU,-23.58,149.07,0,22,307.1,5.35
56,56,ippy,CF,6.26,21.2,100,79,294.44,0.78
57,57,almeirim,BR,-1.53,-52.58,1,76,299.16,1.33
58,58,salekhard,RU,66.54,66.62,0,87,249.32,1.57
59,59,marquette,US,46.54,-87.4,90,92,272.15,1.37
60,60,busselton,AU,-33.64,115.35,49,25,297.04,4.19
61,61,souillac,FR,45.6,-0.6,40,100,283.15,1.5
62,62,port hardy,CA,50.7,-127.42,20,92,270.15,3.1
